name,price,image_url,units,category
Onion (Loose),69.75,https://www.bigbasket.com/media/uploads/p/l/40075537_5-fresho-onion.jpg,2 kg,Fruits & Vegetables
Onion,174.35,https://www.bigbasket.com/media/uploads/p/l/1201414_1-fresho-onion.jpg,5 kg,Fruits & Vegetables
Onion (Loose),34.87,https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg,1 kg,Fruits & Vegetables
Onion,69.74,https://www.bigbasket.com/media/uploads/p/l/1201413_1-fresho-onion.jpg,2 kg,Fruits & Vegetables
Onion (Loose),174.37,https://www.bigbasket.com/media/uploads/p/l/10000150_19-fresho-onion.jpg,5 kg,Fruits & Vegetables
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",110,https://www.bigbasket.com/media/uploads/p/l/40072320_2-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,12 pcs,"Eggs, Meat & Fish"
"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",210,https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg,30 pcs,"Eggs, Meat & Fish"
Potato (Loose),50.32,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,1 kg,Fruits & Vegetables
Potato,100.65,https://www.bigbasket.com/media/uploads/p/l/40162469_6-fresho-potato-new-crop.jpg,2 kg,Fruits & Vegetables
Eggs - Regular,250,https://www.bigbasket.com/media/uploads/p/l/1205938_1-fresho-eggs-regular.jpg,5x6 pcs,"Eggs, Meat & Fish"
"Farm Eggs - Regular, Medium, Antibiotic Residue-Free",50,https://www.bigbasket.com/media/uploads/p/l/281204_9-fresho-farm-eggs-regular-medium-antibiotic-residue-free.jpg,6 pcs,"Eggs, Meat & Fish"
Eggs - Regular,100,https://www.bigbasket.com/media/uploads/p/l/1203477_2-fresho-eggs-regular.jpg,2x6 pcs,"Eggs, Meat & Fish"
Eggs - Regular,200,https://www.bigbasket.com/media/uploads/p/l/1205933_1-fresho-eggs-regular.jpg,4x6 pcs,"Eggs, Meat & Fish"
Tomato - Hybrid (Loose),26.9,https://www.bigbasket.com/media/uploads/p/l/10000200_17-fresho-tomato-hybrid.jpg,1 kg,Fruits & Vegetables
Tomato - Hybrid (Loose),13.45,https://www.bigbasket.com/media/uploads/p/l/10000201_15-fresho-tomato-hybrid.jpg,500 g,Fruits & Vegetables
Tea,40,https://www.bigbasket.com/media/uploads/p/l/266616_16-red-label-tea.jpg,100 g,Beverages
Tea,285,https://www.bigbasket.com/media/uploads/p/l/266569_16-red-label-tea.jpg,500 g,Beverages
Tea,145,https://www.bigbasket.com/media/uploads/p/l/266575_18-red-label-tea.jpg,250 g,Beverages
Tea,570,https://www.bigbasket.com/media/uploads/p/l/102871_11-red-label-tea.jpg,1 Kg,Beverages
Paneer - Premium Fresh,470,https://www.bigbasket.com/media/uploads/p/l/137575_4-milky-mist-paneer-premium-fresh.jpg,1 kg,"Bakery, Cakes & Dairy"
Paneer - Premium Fresh,224,https://www.bigbasket.com/media/uploads/p/l/1200164_3-milky-mist-paneer-premium-fresh.jpg,2x200 g,"Bakery, Cakes & Dairy"
Paneer - Premium Fresh,275,https://www.bigbasket.com/media/uploads/p/l/40003150_3-milky-mist-paneer-premium-fresh.jpg,500 g,"Bakery, Cakes & Dairy"
Paneer - Premium Fresh,112,https://www.bigbasket.com/media/uploads/p/l/264679_3-milky-mist-paneer-premium-fresh.jpg,200 g,"Bakery, Cakes & Dairy"
